City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
87,Muravlenko,RU,2021-03-22 21:43:10,63.7898,74.523,8.78,96,99,9.93
88,Sena Madureira,BR,2021-03-22 21:43:11,-9.0656,-68.6569,71.94,98,100,4.52
89,Selty,RU,2021-03-22 21:43:11,57.3132,52.1345,27.34,95,100,8.57
90,Qaanaaq,GL,2021-03-22 21:39:34,77.484,-69.3632,-14.8,78,96,5.5
91,Leningradskiy,RU,2021-03-22 21:41:27,69.3833,178.4167,-12.6,83,12,3.42
92,Kirakira,SB,2021-03-22 21:43:11,-10.4544,161.9205,82.6,76,99,4.36
93,Lazaro Cardenas,MX,2021-03-22 21:43:12,17.9583,-102.2,82.38,44,0,10.83
94,Laureles,US,2021-03-22 21:43:12,26.1092,-97.4941,77.0,64,90,24.16
95,Lahad Datu,MY,2021-03-22 21:43:13,5.0268,118.327,74.34,94,98,3.44
96,Mehamn,NO,2021-03-22 21:43:13,71.0357,27.8492,28.4,86,40,27.63
97,Yar-Sale,RU,2021-03-22 21:43:13,66.8333,70.8333,-8.18,100,100,6.13
98,Castro,BR,2021-03-22 21:40:27,-24.7911,-50.0119,66.63,90,79,2.55
99,Catamarca,AR,2021-03-22 21:38:22,-28.4696,-65.7852,69.01,91,97,1.99
100,West Bay,KY,2021-03-22 21:43:14,19.3667,-81.4167,82.4,65,40,9.22
101,Ucluelet,CA,2021-03-22 21:43:14,48.9329,-125.5528,48.99,76,20,17.27
102,Guerrero Negro,MX,2021-03-22 21:35:41,27.9769,-114.0611,66.94,39,98,15.66
103,Kaitangata,NZ,2021-03-22 21:40:41,-46.2817,169.8464,61.0,95,39,1.01
104,Mestia,GE,2021-03-22 21:43:14,43.0458,42.7278,37.04,97,100,1.57
105,Labrea,BR,2021-03-22 21:43:14,-7.2586,-64.7981,77.27,92,59,2.15
106,Ossora,RU,2021-03-22 21:43:15,59.2353,163.0719,30.47,97,100,25.93
107,Saint-Philippe,RE,2021-03-22 21:39:26,-21.3585,55.7679,78.8,78,20,5.75
108,Grindavik,IS,2021-03-22 21:41:47,63.8424,-22.4338,37.4,60,75,36.82
109,Jamestown,US,2021-03-22 21:37:20,42.097,-79.2353,64.4,13,1,6.44
110,Lebu,CL,2021-03-22 21:40:34,-37.6167,-73.65,59.61,76,33,10.13
111,Hermiston,US,2021-03-22 21:38:23,45.8404,-119.2895,60.01,29,1,21.85
112,Mollendo,PE,2021-03-22 21:43:15,-17.0231,-72.0147,71.4,80,100,6.53
113,East London,ZA,2021-03-22 21:39:03,-33.0153,27.9116,67.55,75,88,7.58
114,Caravelas,BR,2021-03-22 21:39:36,-17.7125,-39.2481,76.42,82,0,5.23
115,Lufilufi,WS,2021-03-22 21:43:16,-13.8745,-171.5986,87.8,84,40,8.05
116,Mar Del Plata,AR,2021-03-22 21:38:17,-38.0023,-57.5575,66.2,72,0,10.36
117,Inhambane,MZ,2021-03-22 21:43:16,-23.865,35.3833,75.11,75,97,12.17
118,Ust-Barguzin,RU,2021-03-22 21:43:17,53.45,108.9833,21.18,96,87,4.23
119,Urucara,BR,2021-03-22 21:43:17,-2.5364,-57.76,75.9,94,48,3.71
120,Upernavik,GL,2021-03-22 21:39:32,72.7868,-56.1549,-8.27,95,100,7.23
121,Bodden Town,KY,2021-03-22 21:39:27,19.2833,-81.25,82.4,65,40,9.22
122,Sola,VU,2021-03-22 21:40:51,-13.8833,167.55,73.4,100,68,2.3
123,Cacapava Do Sul,BR,2021-03-22 21:43:17,-30.5122,-53.4914,66.11,81,93,7.34
