City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description 
141,Varangaon,IN,21.0167,75.9,90.68,12,0,1.23,clear sky
142,Tiszaeszlar,HU,48.05,21.4667,60.8,33,0,8.05,clear sky
143,Chuy,UY,-33.6971,-53.4616,76.66,76,86,2.57,overcast clouds
144,Maniitsoq,GL,65.4167,-52.9,-5.46,63,17,4.23,few clouds
145,Nhulunbuy,AU,-12.2333,136.7667,80.6,89,64,6.91,broken clouds
146,Kaitangata,NZ,-46.2817,169.8464,60.01,75,11,8.01,few clouds
147,Nikel,RU,69.4128,30.222,39.2,75,90,14.97,overcast clouds
148,Derzhavinsk,KZ,51.1,66.3167,31.64,97,100,5.99,light snow
149,Kongoussi,BF,13.3258,-1.5347,99.91,8,2,15.9,clear sky
150,Moundou,TD,8.5667,16.0833,98.91,10,63,6.29,broken clouds
151,Mar Del Plata,AR,-38.0023,-57.5575,64.99,77,75,23.02,broken clouds
152,Kargasok,RU,59.0556,80.8572,32.4,99,100,4.5,light snow
153,Lucea,JM,18.451,-78.1736,84.2,65,40,17.27,scattered clouds
154,Poum,NC,-20.2333,164.0167,80.22,75,70,10.51,broken clouds
155,Westport,US,41.1415,-73.3579,60.01,47,1,11.5,clear sky
156,Ancud,CL,-41.8697,-73.8203,66.99,72,20,4.61,few clouds
157,Pevek,RU,69.7008,170.3133,-20.85,95,98,3.24,overcast clouds
158,Mount Gambier,AU,-37.8333,140.7667,53.6,94,90,9.22,overcast clouds
159,Faya,SA,18.3851,42.4509,69.8,55,0,6.91,clear sky
160,Torbay,CA,47.6666,-52.7314,30.99,100,90,31.07,snow
161,Togur,RU,58.3631,82.8265,30.2,96,100,6.42,overcast clouds
162,Wichita Falls,US,33.9137,-98.4934,69.8,56,1,5.17,clear sky
163,Deputatskiy,RU,69.3,139.9,-2.24,97,100,1.54,overcast clouds
164,Vysokogornyy,RU,50.1167,139.15,21.06,98,98,2.13,overcast clouds
165,Kodinsk,RU,58.6881,99.1844,17.01,98,93,3.96,overcast clouds
166,Victor Harbor,AU,-35.5667,138.6167,57.0,95,3,5.48,clear sky
167,Comodoro Rivadavia,AR,-45.8667,-67.5,69.8,37,0,16.11,clear sky
168,Aklavik,CA,68.2191,-135.0107,-20.2,76,75,4.61,broken clouds
169,Carutapera,BR,-1.195,-46.02,74.52,95,100,4.61,overcast clouds
170,Nexo,DK,55.0607,15.1306,41.0,100,75,17.27,broken clouds
171,Potiskum,NG,11.7091,11.0694,93.0,10,32,15.21,scattered clouds
172,Rupert,US,42.6191,-113.6772,42.8,52,1,8.05,clear sky
173,Ilulissat,GL,69.2167,-51.1,-11.2,44,20,8.05,few clouds
174,Lage,DE,51.9922,8.793,43.0,86,91,1.99,light rain
175,San Pedro De Macoris,DO,18.4616,-69.2972,87.8,55,40,8.05,scattered clouds
176,Luena,AO,-11.7833,19.9167,68.9,83,100,2.44,light rain
177,Chokurdakh,RU,70.6333,147.9167,-8.14,91,99,5.39,overcast clouds
178,Antofagasta,CL,-23.65,-70.4,72.0,68,20,10.36,few clouds
179,Hameenlinna,FI,60.996,24.4643,48.2,61,0,9.22,clear sky
180,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,77.45,75,78,2.21,broken clouds
181,Narsaq,GL,60.9167,-46.05,10.4,37,20,1.14,few clouds
182,Juneau,US,58.3019,-134.4197,33.8,86,90,14.97,mist
